qid,article_id,cosine_similarity
02-DS-72,LTTHC-153,0.9608626961708069
02-DS-72,LTTHC-167,0.8999109864234924
02-DS-72,LTTHC-151,0.9134241938591003
02-DS-72,LTTHC-164,0.7935440540313721
02-DS-72,LTTHC-316,0.6748338937759399
02-DS-72,LANN-13,0.3082537353038788
02-DS-72,LANN-24,0.30947041511535645
02-DS-72,LTTHC-152,0.8567737340927124
02-DS-72,LTTHC-195,0.6819964647293091
02-DS-72,LANN-4,0.2861459255218506
02-DS-72,LTTHC-191,0.7692563533782959
02-DS-72,LTTHC-150,0.8415059447288513
02-DS-72,LBVMT-160,0.16098392009735107
02-DS-72,LTTHC-181,0.7562543153762817
02-DS-72,LANN-20,0.1975981891155243
02-DS-72,LTTHC-166,0.8121925592422485
02-DS-72,LTTHC-270,0.21216191351413727
02-DS-72,LANN-23,0.2814386487007141
02-DS-72,LTTHC-189,0.7138819694519043
02-DS-72,LANN-16,0.27174878120422363
02-DS-17,LHNVGD-82,0.9739470481872559
02-DS-17,LHNVGD-83,0.9644006490707397
02-DS-17,LHNVGD-84,0.8996772766113281
02-DS-17,LHNVGD-110,0.7028239965438843
02-DS-17,LHNVGD-81,0.9754176139831543
02-DS-17,LHNVGD-111,0.7634242177009583
02-DS-17,LHNVGD-78,0.44105055928230286
02-DS-17,BLDS-39,0.7151405811309814
02-DS-17,LHNVGD-87,0.07309159636497498
02-DS-17,LHNVGD-51,0.880425214767456
02-DS-17,BLDS-27,0.01871311292052269
02-DS-17,LHNVGD-71,0.8764443397521973
02-DS-17,LHNVGD-3,0.7924458980560303
02-DS-17,LHNVGD-68,0.7868051528930664
02-DS-17,LHNVGD-12,0.7455494403839111
02-DS-17,LHNVGD-112,0.6726110577583313
02-DS-17,LHNVGD-73,0.7427683472633362
02-DS-17,LHNVGD-102,0.6344633102416992
02-DS-17,LHNVGD-5,-0.3034222424030304
02-DS-17,BLDS-47,0.4039211869239807
02-DS-99,LTCTT-1,0.9636729955673218
02-DS-99,LTCTT-35,0.9366796612739563
02-DS-99,LTCTT-3,0.9737867116928101
02-DS-99,LTCTT-34,0.946805477142334
02-DS-99,LTCTT-13,0.78913813829422
02-DS-99,LTCTT-8,0.9408647418022156
02-DS-99,LTCTT-14,0.7450666427612305
02-DS-99,LTCTT-33,0.9238911867141724
02-DS-99,LTCTT-5,0.9457389712333679
02-DS-99,LTCTT-6,0.9386670589447021
02-DS-99,LTCTT-10,0.9383286833763123
02-DS-99,LTCTT-18,0.8809120655059814
02-DS-99,LTCTT-16,0.920440673828125
02-DS-99,LTCTT-7,0.90935218334198
02-DS-99,LTCTT-15,0.7755329012870789
02-DS-99,LTCTT-19,0.8649604320526123
02-DS-99,LTCTT-4,0.8382670283317566
02-DS-99,LTCTT-2,0.9397614002227783
02-DS-99,HP-25,0.6690311431884766
02-DS-99,LTCTT-12,0.8667854070663452
02-DS-176,LTTTM-28,0.901033878326416
02-DS-176,LTTTM-76,0.5544277429580688
02-DS-176,LGD-39,0.3442806601524353
02-DS-176,LGD-42,0.4394693076610565
02-DS-176,LGD-73,0.37012940645217896
02-DS-176,LTTTM-20,0.8208945989608765
02-DS-176,LTTTM-42,0.8658095598220825
02-DS-176,LTN-15,0.22106879949569702
02-DS-176,LVC-17,0.4064260721206665
02-DS-176,LTN-16,0.2589115500450134
02-DS-176,LTTTM-43,0.7865495085716248
02-DS-176,LVC-10,0.302902489900589
02-DS-176,LGD-43,0.41193723678588867
02-DS-176,LTTHC-34,0.40815508365631104
02-DS-176,LTTHC-295,0.4008011221885681
02-DS-176,HP-10,0.30371570587158203
02-DS-176,LTTHC-343,0.420814573764801
02-DS-176,LGD-36,0.47241199016571045
02-DS-176,LTTTM-4,0.8350046873092651
02-DS-176,LGD-70,0.3288399577140808
02-DS-152,LBVMT-17,0.9365828037261963
02-DS-152,LBVMT-19,0.8679947853088379
02-DS-152,LBVMT-16,0.9419576525688171
02-DS-152,LBVMT-28,0.5861786603927612
02-DS-152,LBVMT-15,0.8564227819442749
02-DS-152,LBVMT-18,0.9235657453536987
02-DS-152,LBVMT-10,0.7757243514060974
02-DS-152,LCT-23,0.023854605853557587
02-DS-152,LBVMT-111,0.7807325124740601
02-DS-152,LBVMT-112,0.8135099411010742
02-DS-152,LBVMT-58,0.6588472127914429
02-DS-152,LBVMT-9,0.6305088996887207
02-DS-152,LBVMT-65,0.44661515951156616
02-DS-152,LCN-63,0.1149679496884346
02-DS-152,LCN-80,0.03798768296837807
02-DS-152,LBVMT-7,0.7055344581604004
02-DS-152,LTT-71,0.4376368522644043
02-DS-152,LBVMT-144,0.7393820285797119
02-DS-152,LBVMT-69,0.8322215676307678
02-DS-152,LBVMT-80,0.2991175949573517
02-TN-53,BLDS-311,0.8937854170799255
02-TN-53,BLDS-303,0.6441704034805298
02-TN-53,BLDS-304,0.5302422046661377
02-TN-53,BLDS-309,0.7515828609466553
02-TN-53,BLDS-307,0.6088511943817139
02-TN-53,BLDS-315,0.8949865102767944
02-TN-53,BLDS-312,0.9241197109222412
02-TN-53,LTTHC-328,0.055992648005485535
02-TN-53,BLDS-316,0.8618268370628357
02-TN-53,BLDS-335,0.39625903964042664
02-TN-53,BLDS-3,-0.07758791744709015
02-TN-53,BLDS-314,0.885172963142395
02-TN-53,BLDS-313,0.9072498083114624
02-TN-53,BLDS-519,0.14583997428417206
02-TN-53,LTTTM-51,0.19683678448200226
02-TN-53,BLDS-617,0.11020626127719879
02-TN-53,BLDS-346,0.5544668436050415
02-TN-53,BLDS-439,0.4159277677536011
02-TN-53,BLDS-423,0.2916872501373291
02-TN-53,LTTTM-59,0.1908714920282364
02-TN-31,LGD-55,0.8836814165115356
02-TN-31,LGD-26,0.8121466636657715
02-TN-31,LGD-52,0.7614943385124207
02-TN-31,LGD-102,0.5911118984222412
02-TN-31,LGD-47,0.7987312078475952
